id,reviewContent
1,"I got this phone on Friday evening.

Pros:
Great battery life
Amazing performance
Premium design
Impressive rear and front camera
In display fingerprint scanner is really fast

Cons:
No headphone jack but you'll get a converter
No notification LED
No microSD card slot
"
2,"Camera quality is not upto the mark. I visited one plus store and the store representative checked my phone and compared the camera quality with his demo phone. He noticed a significant difference between the two.
I request Amazon to replace my phone with a new one as it is evident that this phone has some problems."
3," The Battery lasts max of 6 hours.
Major application not working in the upper side of the screen.
 Camera quality is very poor.
 Audio output through earphone is very poor, same earphone works with other phone is excellent.
 While in a call unable to drop down the notification window.
 Video quality is very poor compared to other less price phones.
I have applied for replacement, not going to take any replacement for such a worst product."
4,One plus 6 was costing 28k during the big billion sale and 6T costs 38k. It is not worth to spend 10 k just for some small improvements.
5,I ordered one plus 6t phone today I got delivered wen I opened found that ear phones missing in the boxes plz let me clear the issue
6,Phone is simply superb in all aspects...low light performance of the camera is outstanding...you simply cannot go wrong with this phone
7,Only one side of speakers is working. Right side is not working
8,After replace the handset issue was resolved. Now i unlocked the speed i need.
9,"Got delivered in just 2.5 hours of my order. No bad overservations yet. Fingerprint unlock is also good, if you have face unlock ON then all the time it will unlock with face data before the the fingerprint works."
10,"Two days back I received 6T and had many problems with the mobileThe mobile is getting heated when it's on camera mode or doing nothing., and while using mobile it's getting struck.. I don't think I got an original set, I'm sure it's a duplicate set.
Please for god sake please exchange my mobile with a new one"
11,"Amazing phone, just feels good.
Done the ma+h, price isn't everything.
You get what you pay for. :)

Excellent battery,
Great screen,
Amazing performance,
Smoooth OS,
Great camera,
Surprisingly decent audio,
Cool screen unlock and ridiculously fast face unlock.

The phone is worth every penny spent."
12,"The device is very bad. Camera quality is very poor. Please don't buy it guys go for Apple iPhone XS instead. Apple has a far better Camera.
No Color options in 256gb variant. OnePlus should learn from Apple they have a lot of Color options at the time of launch. OnePlus is not worth the price."
13,"This has by far been the best phone I have ever used hands-on. Flagship Specs, Classy look, Premium Packaging and the Speed you Need!
Appearance - The device looks very much similar to the OnePlus 6T upfront but it has got the speed orange highlights at the back, carbon finish and McLaren Branding at the bottom.
Camera - The night mode really captures amazing pictures and the portrait mode is just amazing. The low light photography could still be improved.
Battery - With average usage with full day data on, it easily lasts upto 2 days. The Warp charging is just amazing, it takes around 40-45 mins to charge from 0-100%. But you could easily get a day's charge within 20 mins.
Speed - With 10 Gigs of RAM, speed should not be a question. You could open up 5 high specs games and it still wouldn't lag. And its bragging rights for sure!

Overall, I am really satisfied with this device and feels great to be a part of OnePlus Community! Go, get it! Its for those, who are in continuous pursuit for speed!"
14,Camera pics are not having good quality. Pixel is not clear
